"Title","Version","Course ID",
"Apparent Cause Analysis (ACA)","1.0","OPEX-1002",
"Arc Flash Safety for Canada (Cost Course)","1","OSH-9070-ONLINE",
"Arc Flash Safety for Canada (Cost Course)","1.0","OSH-9070-ONLINE",
"Arc Welding Basics (Cost Course)","1","OSH-9088-ONLINE",
"Arc Welding Basics (Cost Course)","1.0","OSH-9088-ONLINE",
"Arc Welding Processes (Cost Course)","1","OSH-9089-ONLINE",
"Arc Welding Processes (Cost Course)","1.0","OSH-9089-ONLINE",
"Area  Control-Adversary Denial","1.0","SECU-1043",
"Area Radiation Monitoring System for WLSF","1.0","WLSF-MLD-004",
"Area Rad Monitoring System (WLSF-61321-OJTN-001)","1.0","WLSF-OJT-004A",
"Area Rad Monitoring System (WLSF-61321-OJTN-002)","1.0","WLSF-OJT-004B",
"Asbestos Abatement Type 3 for Workers (Cost Course)","1.0","OSH-9014",
"Asbestos Abatement Type 3 Supervisor - Ontario Provincial Certification (Cost Course)","1.0","OSH-9067",
"Asbestos Abatement Type 3, Supervisor Training (Cost Course)","1.0","OSH-9016",
"Asbestos Abatement Type 3 Worker - Ontario Provincial Certification  (Cost Course)","1.0","OSH-9066",
"Asbestos Module 6E","1.0","OSH-1007",
"Asbestos Screening using a Microphazir Asbestos Analyzer","1.0","WMA-3001",
"Asbestos Type 1 and 2 Abatement Refresher","1.0","OSH-3028",
"Asbestos Type 1 and 2 Abatement Worker (Cost Course)","1.0","OSH-9028",
"Asbestos Type 1 and 2 Abatement Worker for Supervisors (Cost Course)","1.0","OSH-9029",
"ASME Sec. III - Design of Class 1 Components  (Cost Course)","1.0","PB-9009",
"ASME Sec. III - Overview and CSA N285 General Req  (Cost Course)","1.0","PB-9008",
"ATOM User Training","1.0","IT-1003",
"Avantis Training","1.0","IT-1005",
"B100-B300 LLLWTS","1.0","WL-OJT-019",
"B225 Annual Refresher - NOs and Ops Spec.","1.0","MPF-CT-040",
"B405 BEP Familiarization","1.0","S&T-1011",
"B405 Criticality Safety Document","1.0","S&T-1009",
"B405 Facility Authorization","1.0","S&T-1012",
"B457 Stores","1.0","SECU-4012",
"B461B","1.0","SECU-4011",
"B700 Reception Counter","1.0","SECU-4013",
"B701 Lanes","1.0","SECU-4008",
"Back Injury Prevention (Cost Course)","1","OSH-9035-ONLINE",
"Back Injury Prevention (Cost Course)","1.0","OSH-9035-ONLINE",
"Bag Monitor Normal Operations","1.0","WL-OJT-001",
"Bag Monitor Source and Function Check","1.0","WL-OJT-005",
"Balance Calibration Checkout","1.0","FMR-4014",
"Ballistic First Aid","1.0","SECU-1070",
"Ballistic First Aid - CNSC REGDOC 2.12.1 Topic 48","1.0","ESO-SECU-008",
"Base Radio Operations","1.0","SECU-3017",
"Basic and Advanced Searching in ATOM","1.0","IT-1030",
"Basic Auditing Principles (Cost Course)","1.0","PHAI-9006B",
"Basic Electrical (? 220 V. and  < 8 calories) Checkout","1.0","FMR-4002",
"Basic Electrical Maintenance (Cost Course)","1","OSH-9113",
"Basic Electrical Maintenance (Cost Course)","1.0","OSH-9113",
"Basic Electrical Skills (Cost Course)","1.0","FMR-9003",
"Basic Life Support With Airway Management and Oxygen Therapy","1.0","OSH-1025",
"Basic Oracle iProcurement Requisition Awareness","1.0","PROC-1001",
"Basic Principles and Fundamentals of LIne Locating Training","1.0","WL-170",
"Basic Principles Underlying Situational Awareness","1.0","PHAI-1004",
"Basics of Sampling","1.0","WMA-1019",
"Basic Spill Response Training","1.0","WL-192",
"Basic Welding Fundamentals for GTAW, GMAW, and Oxyacetylene","1.0","FMR-0049",
"Battery Analyzing Checkout","1.0","FMR-4008",
"Bear Safety Awareness Training (Cost Course)","1.0","OSH-9073",
"Bobcat E32I Compact Excavator Safety","1.0","WL-184",
"Bomb Threat Procedure","1.0","SECU-1023",
"Bottom-Loading Flask WLSF-O7340-OJTN-005A","1.0","WLSF-OJT-013",
"Bottom-Loading Garbage (Drum) Flask","1.0","WLSF-MLD-014",
"Brokk Remote-Controlled Demolition Machine-Practical","1.0","WL-171-PRACTICAL",
"Brokk Remote-Controlled Demolition Machine-Theory","1.0","WL-171",
"Bronto Skylift (Aerial)","1.0","FIRE-3016-CRL",
"Bucket Truck OJT","1.0","OSH-3007",
"Build a Better Case (Study)","1.0","TD-1039",
"Building 137 Hydrogen Systems and Safety","1.0","RD-1001",
"Building Condition Assessments (Cost Course)","1.0","ENG-9022",
"Building Construction","1.0","FIRE-1191-CRL",
"Building Operator Certification 1001-A (Cost Course)","1.0","TD-9017",
"Building Operator Certification 1001-B (Cost Course)","1.0","TD-9018",
"Building Operator Certification 1002 (Cost Course)","1.0","TD-9020",
"Building Operator Certification 1003 (Cost Course)","1.0","TD-9021",
"Building Operator Certification 1004 (Cost Course)","1.0","TD-9019",
"Building Operator Certification 1005 (Cost Course)","1.0","TD-9022",
"Building Operator Certification 1006 (Cost Course)","1.0","TD-9023",
"Building Operator Certification 1007 (Cost Course)","1.0","TD-9024",
"Building Operator Certification 1008 (Cost Course)","1.0","TD-9025",
"Building Ventilation System","1.0","NRU-18-2",
"Business Continuity Planning Awareness","1.3","EMP-1035-ONLINE",
"C8 Carbine Characteristics and Theory of Operation","1.0","SECU-OJTN-005",
"C8 Carbine Drills","1.0","SECU-OJTN-006",
"C8 Carbine Firing Positions","1.0","SECU-OJTN-008",
"C8 Carbine Malfunction Drills","1.0","SECU-OJTN-007",
"Calandria Pressure Relief System - MLD","1.0","NRU-151507-M-01",
"Calculations Pertaining to Respirable Dose","1.0","ENG-1029",
"Caloris Evaporator Training","1.0","PHAI-1021",
"Canada Labour Code","1","OSH-9011-ONLINE",
"Canada Labour Code","1.0","OSH-9011-ONLINE",
"Canadian Electrical Code","1.0","WL-162",
"Canadian Nuclear Laboratories Supplier Code of Conduct","1","PROC-1021-ONLINE",
"Canadian Nuclear Laboratories Supplier Code of Conduct","1.0","PROC-1021-ONLINE",
"Canadian Nuclear Security Fitness Test (NRF)","1.0","SECU-1055",
"Canadian Nuclear Security Fitness Test (NSO)","1.0","SECU-1056",
"Cargo Securement (Cost Course)","1.0","WL-301",
"Caterpillar 924H Wheel Loader Safety","1.0","WL-179",
"CATHENA-RFSP Coupled Simulations (Advanced)","1.0","TR-IH-SW-01D",
"Centerlining Methodology (Cost Course)","1","PI-9013-ONLINE",
"Centerlining Methodology (Cost Course)","1.0","PI-9013-ONLINE",
"Central Monitoring Room Operator","1.0","SECU-4015",
"Centrifugal Pumps (Cost Course)","1","OPS-9007-ONLINE",
"Centrifugal Pumps (Cost Course)","1.0","OPS-9007-ONLINE",
"CFAA Exam (Canadian Fire Alarm Association) External Certificate Tracking Code (Cost Course)","1.0","MAINT-9023",
"Chainsaw Operation and Maintenance (Cost Course)","1.0","OSH-9005",
"Chainsaw Safety","1.0","WL-164",
"Characterization Planning, Implementation and Evaluation Training (Cost Course)","1.0","DWM-9001",
"Chemical Addition System Update","1.0","WTC-106411-M-1-UPDATE",
"Chemical Hazards (Cost Course)","1","OSH-9036-ONLINE",
"Chemical Hazards (Cost Course)","1.0","OSH-9036-ONLINE",
"Chemical Unloading Basics (Cost Course)","1","OSH-9075-ONLINE",
"Chemical Unloading Basics (Cost Course)","1.0","OSH-9075-ONLINE",
"Chief Nuclear Officer - Qualification","1.0","CNO-QUAL",
"Chilled Water System - MLD","1.0","NRU-154202-M-01",
"Chlorine Safe Handling","1.0","WL-175",
"Circuit and Switch Basics (Cost Course)","1","OSH-9109",
"Circuit and Switch Basics (Cost Course)","1.0","OSH-9109",
"Circuits and Power (Cost Course)","1","OPS-9024-ONLINE",
"Circuits and Power (Cost Course)","1.0","OPS-9024-ONLINE",
"Class Dismissed!� Now what?","1.0","TD-1046",
"Cleanup Function Overview","1.4","ERM-1001-ONLINE",
"CMR Security Camera Operations","1.0","SECU-3016",
"CNL Contractor Management Overview","1.0","PROC-1019",
"CNL Contractor Representative","1.0","PROC-1020",
"CNL COVID-19 Pandemic Response","1.0","CNL-1010",
"CNL COVID-19 Pandemic Response for Contractors","1.3","CNL-1005-ONLINE",
"CNL General Safety Orientation","1.9","TD-1018-ONLINE",
"CNL Pandemic Planning","1.0","EMP-1036",
"CNL Performance Measures","1.0","TD-1051",
"Coaching Skills for Effective Leadership (Cost Course)","1.0","TD-9043",
"Cold Stress (Cost Course)","1","OSH-9096-ONLINE",
"Cold Stress (Cost Course)","1.0","OSH-9096-ONLINE",
"Combustible Dusts (Cost Course)","1","OSH-9037-ONLINE",
"Combustible Dusts (Cost Course)","1.0","OSH-9037-ONLINE",
"Communicating with Regulatory Bodies Awareness Session","1.0","SL-1005",
"Communication and Effective Feedback Workshop","1.0","ENG-1011",
"Compressed Air System for WLSF","1.0","WLSF-MLD-005",
"Compressed Air System - MLD","1.0","NRU-154301-M-01",
"Compressed Air Systems (Cost Course)","1","OSH-9038-ONLINE",
"Compressed Air Systems (Cost Course)","1.0","OSH-9038-ONLINE",
"Compressed Air System (WLSF-75100-OJTA-001)","1.0","WLSF-OJT-005B",
"Compressed Air System (WLSF-75100-OJTN-001)","1.0","WLSF-OJT-005A",
"Compressed Air System (WLSF-75100-OJTN-002)","1.0","WLSF-OJT-005C",
"Compressed Gas Cylinder Safety (Cost Course)","1","OSH-9058-ONLINE",
"Compressed Gas Cylinder Safety (Cost Course)","1.0","OSH-9058-ONLINE",
"Concur Travel Expense Training for Employees","1.0","FIN-1001",
"Concur Travel Expense Training for Managers","1.0","FIN-1002",
"Conducting On-The-Job Training","1.0","TD-1011",
"Conduct of Operations Awareness","1.0","WMA-1021",
"Conduct of Operations, Part 1","1.0","S&T-1003",
"Conduct of Operations, Part 2","1.0","S&T-1004",
"Conduct of Operations Procedures","1.0","Z2R-112",
"Confined Space Atmospheric Monitoring","1.0","FIRE-1177-CRL",
"Confined Space Awareness Exam","1.1","OSH-9119-EXAM",
"Confined Space Awareness for Construction (Cost Course)","1.0","OSH-9074",
"Confined Space Communications","1.0","FIRE-1175-CRL",
"Confined Space Entry Awareness (Cost Course)","1.0","OSH-9119",
"Confined Space Entry (Cost Course)","1.0","OSH-9118",
"Confined Space Entry Practical","1.0","FIRE-3008-CRL",
"Confined Space Hazard Control","1.0","FIRE-1176-CRL",
"Confined Space Respirator Protection","1.0","FIRE-1174-CRL",
"Conflict Management (Cost Course)","1.0","TD-9041",
"Conflict Resolution Training","1.0","TD-9031",
"Consequence Analysis Training (Cost Course)","1.0","ENG-9001",
"Consequence Modelling Techniques Webinar - Module 1 and 2 (Cost Course)","1.0","ENG-9013",
"Consequence Modelling Techniques Webinar - Module 3 and 4 (Cost Course)","1.0","ENG-9014",
"Construction Basics","1.0","PHAI-1009",
"Containment","1.0","SECU-1046",
"Containment Refresher","1.0","SECU-2046",
"Contamination Control (Cost Course)","1.0","RP-9006",
"Continuous Improvement and Lean - Delivering Customer Value","1.0","PI-1008",
"Contracting and Procurement Awareness","1.0","PROC-1015",
"Contractor HSSE Management Level II (Ontario)","1.0","OSH-1024",
"Contractor HSSE Management Level I (PHAI)","1.0","PHAI-1002",
"Contracts and Contract Management Awareness","1.0","AWS-0095-WL",
"Contracts and Contractor Management (900-505210-MCP-005) Awareness Session","1.0","PROC-1004",
"Contracts and Contractor Management (900-505210-MCP-005) Detailed Review","1.0","PROC-1005",
"Control of Operations","1.0","TF-510220-OJTN-037",
"Control Rods General","1.0","NRU-150901-M-01",
"COR Essentials (Cost Course)","1.0","PHAI-9006A",
"COR Internal Auditor (Cost Course)","1.0","PHAI-9006C",
"Corporal Duties","1.0","SECU-4019",
"COVID-19 Awareness - Contractor Pre-Arrival to Site Information","1.0","CNL-1005",
"COVID-19 Awareness - Supplement for CNL Contract Representatives","1.0","CNL-1004",
"CPC B-1000 Super Compactor  (WLSF-106710-OJTN-001)","1.0","WLSF-OJT-001A",
"Crane - Safe Indoor Hoist - Practical - Bridge Crane","1.0","OSH-3001-F",
"Crane - Safe Indoor Hoist - Practical - Monorail Crane","1.0","OSH-3001-K",
"Crane - Safe Indoor Hoist - Theory","1.4","OSH-1001-ONLINE",
"Crane Safety for Non-Operators Part 2 - Overhead Crane Operational Safety (Cost Course)","1","OSH-9062-ONLINE",
"Crane Safety for Non-Operators Part 2 - Overhead Crane Operational Safety (Cost Course)","1.0","OSH-9062-ONLINE",
"Creating Forms and Templates","1.0","IT-1032",
"Cricket Grapple Mounted Radiation Detection Systems","1.0","FD-1010",
"Criticality Prevention and Accountability","1.0","RFFL-1003",
"Criticality Safety Document - CSD-45 for SRF","2","NMMS-1009-ONLINE",
"Criticality Safety Document - CSD-45 for SRF","2.0","NMMS-1009-ONLINE",
"Criticality Safety Document (CSD) Training, B300-508550-CSD-001","1.0","RD-3012",
"Critical Thinking (Cost Course)","1.0","TD-9044",
"CRL Security Organization and Responsibilities","1.0","SECU-1019",
"CRL Site Geography","1.0","SECU-1025",
"Crse3-M1 -  B225, B225A, B203, B206 and B229 BEPs","1.0","MPF-CT-013",
"Crystalline Silica Awareness (Cost Course)","1","OSH-9102-ONLINE",
"Crystalline Silica Awareness (Cost Course)","1.0","OSH-9102-ONLINE",
"Crystalline Silica Awareness Training - Part Two","1.1","OSH-1102-ONLINE",
"CSA N286-12 - Management System Requirements for Nuclear Facilities (Cost Course)","1.0","MS-9001",
"CSD-61 - WMA Criticality Safety","1.0","WMA-CSD-004",
"CSD, NCA Overview, Patrol Emergency Procedure Placards Refresher","1.0","WTC-101-REF",
"Cultural Awareness and Reconciliation Training (Cost Course)","1.0","TD-9045",
"Culture Shift Facilitator Training (Module 1)","1.0","TD-1020A",
"Culture Shift Facilitator Training (Module 2)","1.0","TD-1020B",
"Customer Focused Effective Communication (Cost Course)","1.0","ENG-9004",
"Customer Service Excellence Training (Cost Course)","1.0","TD-9004",
"DC Motor Operation (Cost Course)","1","OPS-9026-ONLINE",
"DC Motor Operation (Cost Course)","1.0","OPS-9026-ONLINE",
"DC Motor Types (Cost Course)","1","OPS-9027-ONLINE",
"DC Motor Types (Cost Course)","1.0","OPS-9027-ONLINE",
"Decommissioning and Demolition Program Awareness","2","ERM-1004-ONLINE",
"Decommissioning and Demolition Program Awareness","2.0","ERM-1004-ONLINE",
"Decommissioning Process Awareness Training for Employees","1.1","FD-1001-ONLINE",
"Decommissioning Process Awareness Training for Management and Supervision","1.1","FD-1002-ONLINE",
"Dedicated Control Room Operator Refresher Training","1.0","SECU-2002",
"Defensive Tactics","1.0","SECU-1029",
"Defensive Tactics Instructor (Cost Course)","1.0","SECU-9001",
"Defensive Tactics Refresher","1.0","SECU-2029",
"Designated Representative of the License (DROL) Training","1.0","SL-1004",
"Designing Temporary Structures (Cost Course)","1.0","ENG-9010",
"Design Planning","1.0","ENG-1007",
"Design Verifications","1.0","ENG-1004",
"Desigo CC Overview (Cost Course)","1.0","BAS-9002",
"Desigo CC Workstation MP 3.0 (Cost Course)","1.0","BAS-9001",
"Developing Contract Strategies - Module 1","1.0","PROC-1006",
"Developing Contract Strategies - Module 2","1.0","PROC-1016",
"Disinfection of Watermains (Cost Course)","1.0","MAINT-9010",
"Dispose of Waste Using Bottom-Loading Garbage (Drum) Flask","1.0","WLSF-OJT-015",
"Distilled Water System","1.0","NRU-42-3",
"Diversity Training","1.0","WL-316",
"Documentation Lien Training","1.0","IT-1028",
"Document Formatting","1.0","IT-1031",
"Dosimetry Update Training","1.0","RP-UPDATE-004",
"Dress - Undress Practical Assessment- Mururoa Ventilated Suit","1.0","RP-OJT-003",
"Drills (TTX)","1.0","FIRE-3113-CRL",
"Driver Training - Practical - Aerial","1.0","FIRE-3014-CRL",
"Driver Training - Practical Pumper 1","1.0","FIRE-3012-CRL",
"Driver Training - Practical Pumper 2 and Tanker","1.0","FIRE-3013-CRL",
"Driver Training - Practical - Support Vehicles","1.0","FIRE-3015-CRL",
"Driver Training - Theory","1.0","FIRE-1012-CRL",
"Drum Truck Operator","1.0","WMA-3008",
"DWM Contractor Management Information Session","1.0","DWM-1002",
"EAC Procedural Review and MET Officer Computer Operation and Trouble Shooting","1.0","EMP-1033",
"EDMS - How to Create a Map","1","IT-1018-ONLINE",
"EDMS - How to Create a Map","1.0","IT-1018",
"EDMS - How to Create a Map","1.0","IT-1018-ONLINE",
"EDMS - How to Find Information - Identify, Filter and Query Functions","1.0","IT-1020",
"EDMS - How to Upload and Extract Map Data","1.0","IT-1021",
"EDMS System Overview","1.0","IT-1019",
"Effluent - Environmental Monitoring","1.0","ENVP-1006",
"Electrical Cabinet Assembly Checkout","1.0","FMR-4019",
"Electrical Drawings and Schematics (Cost Course)","1","OPS-9028-ONLINE",
"Electrical Drawings and Schematics (Cost Course)","1.0","OPS-9028-ONLINE",
"Electrical Engineering for Non-Electrical Engineers (Cost Course)","1.0","ENG-9003",
"Electrical Isolation (? 600 V and  < 8 calories) Checkout","1.0","FMR-4001",
"Electrical Motor Basics (Cost Course)","1","OPS-9029-ONLINE",
"Electrical Motor Basics (Cost Course)","1.0","OPS-9029-ONLINE",
"Electrical Power System Distribution for Industrial Plants (Cost Course)","1.0","ENG-9017",
"Electrical Safety Awareness - Hydrovac (Cost Course)","1.0","OSH-9064",
"Electrical Safety For Emergency Responders","1.0","FIRE-1017-CRL",
"Electrical Safety for Maintenance Staff (Cost Course)","1.0","OSH-9084",
"Electrical Safety - Grounding and Bonding (Cost Course)","1.0","OSH-9086",
"Electrical Safety Introduction for Canada (Cost Course)","1","OSH-9071-ONLINE",
"Electrical Safety Introduction for Canada (Cost Course)","1.0","OSH-9071-ONLINE",
"Electrical Safety - Introduction to CSA Z462 - Arc Flash (Cost Course)","1.0","OSH-9085",
"Electrical Safety Watcher Practical","1.0","OSH-3017",
"Electrical Switches (Cost Course)","1","OSH-9110",
"Electrical Switches (Cost Course)","1.0","OSH-9110",
"Electrical Wiring and Connections (Cost Course)","1","OPS-9025-ONLINE",
"Electrical Wiring and Connections (Cost Course)","1.0","OPS-9025-ONLINE",
"Electric Pallet Jack","1.0","ODT-640-WL",
"Electric Shock (Cost Course)","1","OSH-9076-ONLINE",
"Electric Shock (Cost Course)","1.0","OSH-9076-ONLINE",
"Elevator Rescue Refresher","1.0","FIRE-2019-CRL",
"Emergency Procedures","1.0","Z2R-103",
"Emergency Procedures for the Waste Management Area","1.0","WMA-1010",
"EMP - CMT Awareness","1.0","EMP-1014",
"Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and Face Covering Policy","1.3","CNL-1009-ONLINE",
"Employee Orientation - CRL","1.0","TD-1001",
"Employee Orientation - HSSE and Q Essential (CRL)","1.0","TD-1036",
"Employee Orientation - PHAI MO","1.0","PHAI-1001",
"Enbridge Gas Refresher","1.0","FIRE-2020-CRL",
"Engaging Introverted Learners","1.0","TD-1049",
"Engineering Change Control - Engineering Operations (ECC)","1.0","ENG-1001",
"Engineering Change Control - Item Equivalency Evaluation Request (IEER)","1.0","ENG-1006",
"Engineering Change Control - Reduced Risk Engineering Change (RREC)","1.0","ENG-1002",
"Engineering Change Control Update - Ensure Implementation of Programmable Electronic Systems (PES) Categorization","1.0","ENG-1072",
"Enhanced Vision Devices","1.0","SECU-1059",
"Enviromental Protection Aws. For Operations Personnel","1.0","RFFL-1007",
"Environmental Hazards (Cost Course)","1","OSH-9039-ONLINE",
"Environmental Hazards (Cost Course)","1.0","OSH-9039-ONLINE",
"Environmental Protection - Employee Awareness","1.0","ENVP-1001",
"Environmental Qualification for Engineering","1","ENVP-1006-ONLINE",
"Environmental Qualification for Engineering","1.0","ENVP-1006-ONLINE",
"EnvP Facility Specific - Powerhouse","1.0","ENVP-1002-WLB911",
"EnvP Facility Specific Training - Decontam","1.0","ENVP-1002-WL",
"EnvP Facility Specific Training - MPF","1.0","ENVP-1002-MPF",
"EnvP Facility Specific Training - Nuclear Fuel Ops - Fuel Material Cells","1.0","ENVP-1002-NFO-FMC",
"EnvP Facility Specific Training - Nuclear Fuel Ops - Fuel Material Cells","1.0","ENVP-1002-NFO/FMC",
"EnvP Facility Specific Training - Site Maintenance","1.0","ENVP-1002-MAINT",
"EnvP Facility Specific Training - SPPM","1.0","ENVP-1002-SPPM",
"EnvP Facility Specific Training - Waste Management Program","1.0","ENVP-1002-WMA",
"EnvP Facility Specific Training - WTC","1.0","ENVP-1002-WTC",
"EnvP for Managers of SEAs","1.0","ENVP-1005",
"EOC - CRL EOC Overview","1.0","EMP-1002",
"EOC - CRL Liaison","1.0","EMP-1019",
"EOC - CRL Operating Environment","1.0","EMP-1004",
"EOC - CRL Site Overview","1.0","EMP-1003",
"EOC - Demobilization","1.0","EMP-1012",
"EOC - EOC Briefings","1.0","EMP-1007",
"EOC Essentials","1.0","WL-141",
"EOC - Functional Exercise Final Fling (FX)","1.0","EMP-3017",
"EOC - Handover Procedure","1.0","EMP-1010",
"EOC - Incident Action Plan","1.0","EMP-1008",
"EOC - Incident Authority","1.0","EMP-1018",
"EOC - Incident Management System Overview","1.0","EMP-1001",
"EOC Logistics Section","1.0","WL-144",
"EOC Operations Section","1.0","WL-142",
"EOC - Planning Process","1.0","EMP-1009",
"EOC Planning Section","1.0","WL-143",
"EOC - Resources, Equipment and Documentation","1.0","EMP-1013",
"EOC - Table Top Exercise - Radiological","1.0","EMP-3016",
"EOC - Table Top Exercise - Severe Weather - Tornado","1.0","EMP-3015",
"EOC Training Program Update","1.0","EMP-1034",
"EOC Written Evaluation","1.0","EMP-3023",
"Equipment Familiarization","1.0","SECU-1010",
"Equipment Hazard Basics (Cost Course)","1","OSH-9041-ONLINE",
"Equipment Hazard Basics (Cost Course)","1.0","OSH-9041-ONLINE",
"Equipment Hazards (Cost Course)","1","OSH-9040-ONLINE",
"Equipment Hazards (Cost Course)","1.0","OSH-9040-ONLINE",
"Equipment Lubrication: Using Lubricants","1","OSH-9112",
"Equipment Lubrication: Using Lubricants","1.0","OSH-9112",
"Equipotential Grounding and Bonding","1.0","FMR-X-0049",
"Ergonomic Assessment and Office Ergonomics (Cost Course)","1.0","OSH-9023",
"Ergonomics for Industrial Environments for Canada (Cost Course)","1","OSH-9105-ONLINE",
"Ergonomics for Industrial Environments for Canada (Cost Course)","1.0","OSH-9105-ONLINE",
"ERM HBK Module 10 - Destructive Analysis Overview","1.0","WCS-1010",
"ERM HBK Module 2 - Scoping and Investigation","1.0","WCS-1002",
"ERM HBK Module 7 - Basics of Sampling","1.0","WCS-1007",
"ESO BASE STATION RADIOS","1.0","ESO-OJT-017",
"ESO EMERGENCY RESPONSE - SECURITY","1.0","ESO-OJT-012",
"ESO IONSCAN EXPLOSIVES DETECTOR","1.0","ESO-OJT-013",
"ESO LLLWTS","1.0","ESO-FCO-003",
"ESO Low Light and Thermal Imaging Camera","1.0","ESO-OJT-007",
"ESO MATERIAL PERMITS","1.0","ESO-OJT-035",
"ESO METAL DETECTION","1.0","ESO-OJT-015",
"Essentials of Lean Manufacturing (Cost Course)","1","PI-9001-ONLINE",
"Essentials of Lean Manufacturing (Cost Course)","1.0","PI-9001-ONLINE",
"Essentials of Six Sigma (Cost Course)","1","PI-9020-ONLINE",
"Essentials of Six Sigma (Cost Course)","1.0","PI-9020-ONLINE",
"Ethical Conduct at CNL","1.0","LGL-1005",
"Evaluation Design","1.0","PROC-1007",
"Event Free Tools for Knowledge Workers","1.0","HU-1023",
"Everbridge Notifications","1.0","EMP-1031",
"Evidence Handling","1.0","SECU-1017",
"Excavation and Trenching","1.0","PHAI-1014",
"Excellence in Business Writing (Cost Course)","1.0","TD-9003",
"ExpenseCNL (Concur) System User Training","1","FIN-1003-ONLINE",
"ExpenseCNL (Concur) System User Training","1.0","FIN-1003-ONLINE",
"Extinguishers - Practical","1.0","FIRE-3021-CRL",
"Extinguishers - Theory","1.0","FIRE-1021-CRL",
"Extrication 6 - Practical - Auto Extrication Techniques","1.0","FIRE-3026-CRL",
"Extrication - Auto Extrication Techniques Theory","1.0","FIRE-1026-CRL",
"Extrication - Bus Extrication","1.0","FIRE-1028-CRL",
"Extrication - EMS Considerations","1.0","FIRE-1031-CRL",
"Extrication - Extrication Equipment","1.0","FIRE-1025-CRL",
"Extrication - Incident Management","1.0","FIRE-1023-CRL",
"Extrication - Industrial and Agricultural Vehicle and Machinery","1.0","FIRE-1030-CRL",
"Extrication - Introduction to Vehicle Extrication","1.0","FIRE-1022-CRL",
"Extrication - Medium and Heavy Truck Extrication","1.0","FIRE-1029-CRL",
"Extrication - Passenger Vehicle Extrication","1.0","FIRE-1027-CRL",
"Extrication Refresher","1.0","FIRE-2025-CRL",
"Extrication - Special Extrications","1.0","FIRE-1032-CRL",
"Extrication - Vehicle Anatomy and Science","1.0","FIRE-1024-CRL",
