ID,NAME,VERSION,DESCRIPTION,DOMAIN,AVAILABLE_FROM,STATUS,DISPLAY_TO_LEARNER,TARGET_DAYS,EXPIRY_TYPE,EXPIRE_IN_DAYS,NOTIFY_BEFORE_DAYS,ENFORCE_TARGET_DATE,ONE_CLICK_REG,PATH_NAME,MODULE_NAME,NO_OF_MODULE_ELEMENTS,MODULE_REQUIRED,COURSE_ELEMENT,COURSE_VERSION,ELEMENT_SEQUENCE,IS_RECERT_PATH,PAST_CREDIT_DAYS,PAST_CREDIT_POLICY,RECERTIFY_IN_DAYS
10,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3018-WL,1.0,,False,365.0,1.0,90.0
11,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3024-WL,1.0,,False,365.0,1.0,90.0
12,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3011-WL,1.0,,True,365.0,1.0,90.0
13,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3202-WL,1.0,,True,365.0,1.0,90.0
14,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3017-WL,1.0,,True,365.0,1.0,90.0
15,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3020-WL,1.0,,True,365.0,1.0,90.0
16,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3021-WL,1.0,,True,365.0,1.0,90.0
17,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3026-WL,1.0,,True,365.0,1.0,90.0
18,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3022-WL,1.0,,True,365.0,1.0,90.0
19,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3025-WL,1.0,,True,365.0,1.0,90.0
20,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3203-WL,1.0,,True,365.0,1.0,90.0
21,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3023-WL,1.0,,True,365.0,1.0,90.0
22,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3018-WL,1.0,,True,365.0,1.0,90.0
23,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Recertification,Main,12,True,FIRE-3024-WL,1.0,,True,365.0,1.0,90.0
24,First Aid,V1.0,Selected individuals will be certified to administer the Canadian Nuclear Security Fitness Test.,Security Program,1900-01-01,in effect,False,1.0,1,1095.0,90.0,,,Main,Main,1,True,ODT-543-WL,1.0,,False,1095.0,1.0,90.0
25,First Aid,V1.0,Selected individuals will be certified to administer the Canadian Nuclear Security Fitness Test.,Security Program,1900-01-01,in effect,False,1.0,1,1095.0,90.0,,,Recertification,Main,1,True,ODT-543-WL,1.0,,True,1095.0,1.0,90.0
26,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Main,Main,4,True,FIRE-3031-WL,1.0,,False,365.0,1.0,90.0
27,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Main,Main,4,True,FIRE-3032-WL,1.0,,False,365.0,1.0,90.0
28,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Main,Main,4,True,FIRE-3038-WL,1.0,,False,365.0,1.0,90.0
29,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Main,Main,4,True,FIRE-3041-WL,1.0,,False,365.0,1.0,90.0
30,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Recertification,Main,4,True,FIRE-3031-WL,1.0,,True,365.0,1.0,90.0
31,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Recertification,Main,4,True,FIRE-3032-WL,1.0,,True,365.0,1.0,90.0
32,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Recertification,Main,4,True,FIRE-3038-WL,1.0,,True,365.0,1.0,90.0
33,Incident Commander Qualification,V1.0,This certification qualifies employees to perform tasks associated with the role of the Incident Commander during a fire emergency. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,1.0,1,365.0,90.0,,,Recertification,Main,4,True,FIRE-3041-WL,1.0,,True,365.0,1.0,90.0
34,Level 1 Firefighter,V1.0,This certification documents the completion of the external Level 1 Firefighter Qualification. This certificate has no refresher requirement and no prerequisites.,Security Program,1900-01-01,in effect,False,42.0,1,,90.0,,,Main,Main,1,True,FIRE-1033-WL,1.0,,False,999999.0,1.0,90.0
35,Level 2 Firefighter,V1.0,This certification documents the completion of the external Level 1 Firefighter Qualification. This certificate has no refresher requirement. The prerequisite for this certification is  Level 1 Firefighter.,Security Program,1900-01-01,in effect,False,1.0,1,,90.0,,,Main,Main,1,True,FIRE-1034-WL,1.0,,False,999999.0,1.0,90.0
